Groot warkruid,4
Groot zeegras,3
Grote bevernel,4
Grote biesvaren,5
Grote bosaardbei,5
Grote boterbloem,4
Grote brandnetel,5
Grote bremraap,6
Grote centaurie,4
Grote egelskop,6
Grote engelwortel,5
Grote ereprijs,5
Grote graslelie,4
Grote hardvrucht,4
Grote kaardebol,6
Grote kattenstaart,5
Grote keverorchis,5
Grote klaproos,4
Grote klit,3
Grote kroosvaren,4
Grote leeuwenbek,4
Grote leeuwenklauw,3
Grote lisdodde,4
Grote muggenorchis,4
Grote muur,4
Grote pimpernel,4
Grote ratelaar,4
Grote schorseneer,3
Grote sneeuwroem,3
Grote steentijm,4
Grote teunisbloem,4
Grote tijm,3
Grote veldbies,2
Grote vlotvaren,3
Grote vossenstaart,4
Grote watereppe,4
Grote waternavel,3
Grote waterranonkel,4
Grote waterweegbree,3
Grote wederik,4
Grote weegbree,4
Grote windhalm,5
Grote wolfsklauw,5
Grote zandkool,5
Grove den,7
Grove varkenskers,4
Gulden boterbloem,4
Gulden sleutelbloem,5
Gymnadenia,2
Haagbeuk,6
Haagliguster,3
Haagwinde,3
Haaksterrenkroos,3
Haarfonteinkruid,2
Haarlems klokkenspel,2
Halsbloem,3
Handjesereprijs,5
Handjesgras,5
Hanendoorn,2
Hangende zegge,5
Hard zwenkgras,5
Harig knopkruid,3
Harig vingergras,4
Harig wilgenroosje,4
Harige ratelaar,5
Harige sorbaria,1
Harlekijn,7
Hartbladige els,3
Hartbladzonnebloem,4
Hartgespan,4
Hauwklaver,4
Hauwwier,2
Haver,2
Hazelaar,4
Hazelaarbraam,2
Hazenpootje,4
Hazenstaart,5
Hazenzegge,4
Heelbeen,7
Heelblaadjes,4
Heelkruid,4
Heemst,4
Heen,3
Heermoes,5
Heggendoornzaad,4
Heggenduizendknoop,5
Heggenrank,5
Heggenvogelmuur,2
Heggenwikke,3
Heidekartelblad,3
Heidemelkviooltje,1
Heidespurrie,3
Heidezegge,4
Heksenmelk,3
Hemelboom,4
Hemelroosje,1
Hemelsleutel,3
Hengel,3
Hennegras,4
Hennep,2
"Hennepnetel, Bleekgele",5
Hennepvreter,5
Herderstasje,4
Herfstadonis,3
Herfstalsem,4
Herfstbitterling,5
Herfstschroeforchis,6
Herik,4
Hertshoornweegbree,3
Hertsmunt,3
Heterosiphonia,1
Hieracium,2
Hierochloe,5
Hoenderbeet,4
Hoge cyperzegge,5
Hoge dravik,4
Hoge fijnstraal,5
Hollands hoorntjeswier,1
Hollandse iep,2
Hollandse linde,3
Hollandse rimpelroos,4
Holpijp,5
Holwortel,4
Holzaad,2
Hondsdraf,4
Hondskruid,6
Hondspeterselie,5
Hondsroos,7
Hondstarwegras,5
Hondsviooltje,3
Hongaarse raket,3
Honingorchis,5
Hoog struisgras,3
Hoornmelde,1
Hop,4
Hopklaver,3
Hopwarkruid,3
Hulst,4
Hyacint,2
Hypericum,2
Hyssop,4
IJle dravik,4
IJle hazenzeggen,1
IJle lamsoor,2
IJle zegge,6
IJzerhard,4
IJzervaren,6
Iers mos,1
Ingesneden dovenetel,4
Inkarnaatklaver,3
Italiaans raaigras,4
Italiaanse aronskelk,5
Italiaanse clematis,4
Iva,5
Jacobaea,3
Jakobskruiskruid,2
Jakobsladder,3
Japans bessenwier,1
Japans hoefblad,2
Japanse bamboe,2
Japanse berberis,2
Japanse duizendknoop,5
Japanse larix,7
Japanse wijnbes,3
Japanse zilverspar,2
Jeneverbes,6
Juffertje-in-het-groen,5
Kaal breukkruid,4
Kaal knopkruid,4
Kafferkoren,3
Kale gierst,3
Kale jonker,4
Kale vrouwenmantel,2
Kalkbedstro,4
Kalkboterbloem,2
Kalketrip,4
Kalkhoornbloem,5
Kalkraket,4
Kalkwalstro,3
Kalkzwenkgras,1
Kalmoes,5
Kamferalant,2
Kamgras,5
Kamvaren,3
Kanariezaad,3
Kandelaartje,5
Kaneelroos,2
Kantig hertshooi,3
Kantige basterdwederik,3
Karpatenklokje,1
Kartuizer anjer,5
Karwij,8
Karwijselie,5
